样品编号,产地,检测项目,检测结果,批次
SMP-20260911-001,OR-SD-001,农残-有机磷,0.12 mg/kg,BATCH-20260910-001
SMP-20260911-002,OR-HN-014,重金属-铅,0.05 mg/kg,BATCH-20260910-001
SMP-20260911-003,OR-HLJ-007,黄曲霉毒素,3.2 μg/kg,BATCH-20260910-002
SMP-20260911-004,OR-XJ-021,瘦肉精,阴性,BATCH-20260910-002
SMP-20260911-005,OR-SD-001,农残-有机磷,0.08 mg/kg,BATCH-20260910-002
SMP-20260911-001,OR-SD-001,农残-有机磷,0.12 mg/kg,BATCH-20260910-001
SMP-20260911-006,OR-SD-001,非法添加-苏丹红,合格,BATCH-20260910-001
SMP-20260911-007,OR-HN-014,重金属-铅,25 mg/kg,BATCH-20260910-001
SMP-20260911-008,OR-SD-001,农残-有机磷,0.1 mg/kg,BATCH-20260911-099
,OR-SD-001,农残-有机磷,0.1 mg/kg,BATCH-20260910-001
SMP-20260911-010,OR-XX-999,农残-有机磷,0.1 g/kg,badbatch
SMP-20260911-011,OR-SD-001,转基因检测,阳性,BATCH-20260910-001
SMP-20260911-012,OR-SD-001,瘦肉精,可疑,BATCH-20260910-001
SMP-20260911-013,OR-SD-001,农残-有机磷,,BATCH-20260910-001
